timestamp,capteur_id,type,valeur,unite,batiment,salle,etage,zone,statut_capteur,batterie,precision,derniere_calibration,seuil_min,seuil_max
2024-01-15 08:30:00,CAP_TEMP_001,temperature,22.5,°C,Batiment A,Salle 101,1,Zone Nord,actif,85,0.1,2024-01-10,18,26
2024-01-15 08:30:00,CAP_HUM_001,humidite,45,%,Batiment A,Salle 101,1,Zone Nord,actif,92,1,2024-01-12,30,70
2024-01-15 08:30:00,CAP_LUM_001,luminosite,350,lux,Batiment A,Salle 101,1,Zone Nord,actif,78,5,2024-01-08,50,1000
2024-01-15 08:30:00,CAP_CO2_001,co2,450,ppm,Batiment A,Salle 101,1,Zone Nord,actif,88,10,2024-01-11,350,800
2024-01-15 08:30:00,CAP_PRES_001,pression,1013.25,hPa,Batiment A,Salle 101,1,Zone Nord,actif,91,0.5,2024-01-09,1000,1020
2024-01-15 08:45:00,CAP_TEMP_002,temperature,21.8,°C,Batiment A,Salle 102,1,Zone Sud,actif,87,0.1,2024-01-10,18,26
2024-01-15 08:45:00,CAP_VOC_001,voc,125,ppb,Batiment A,Corridor 1,1,Zone Centre,actif,82,5,2024-01-13,0,500
2024-01-15 09:00:00,CAP_TEMP_003,temperature,23.2,°C,Batiment B,Salle 201,2,Zone Est,maintenance,45,0.1,2024-01-05,18,26
2024-01-15 09:15:00,CAP_SON_001,sonore,42,dB,Batiment B,Amphithéâtre,2,Zone Ouest,actif,76,1,2024-01-14,35,80
2024-01-15 09:30:00,CAP_MOUV_001,mouvement,1,detection,Batiment A,Entrée,0,Zone Accueil,actif,94,NA,2024-01-07,0,1
2024-01-15 10:00:00,CAP_TEMP_001,temperature,24.1,°C,Batiment A,Salle 101,1,Zone Nord,actif,84,0.1,2024-01-10,18,26
2024-01-15 10:00:00,CAP_CO2_001,co2,680,ppm,Batiment A,Salle 101,1,Zone Nord,actif,87,10,2024-01-11,350,800
2024-01-15 10:30:00,CAP_HUM_002,humidite,58,%,Batiment B,Salle 202,2,Zone Est,actif,89,1,2024-01-12,30,70
2024-01-15 11:00:00,CAP_LUM_002,luminosite,520,lux,Batiment B,Salle 203,2,Zone Ouest,actif,81,5,2024-01-08,50,1000
2024-01-15 11:30:00,CAP_TEMP_004,temperature,19.5,°C,Batiment C,Salle 301,3,Zone Nord,actif,91,0.1,2024-01-10,18,26
2024-01-15 12:00:00,CAP_PRES_002,pression,1012.80,hPa,Batiment C,Labo 1,3,Zone Sud,actif,93,0.5,2024-01-09,1000,1020
2024-01-15 13:00:00,CAP_VIB_001,vibration,0.12,g,Batiment A,Machine 1,0,Zone Technique,actif,79,0.01,2024-01-06,0,0.5
